station_id,bikes_available,docks_available,time
21,7,8,2013/11/30 08:24:02
21,7,8,2013/11/30 08:25:03
21,7,8,2013/11/30 08:26:03
21,7,8,2013/11/30 08:27:02
22,13,14,2013/08/29 12:13:01
22,13,14,2013/08/29 12:15:01
22,13,14,2013/08/29 12:16:02
22,13,14,2013/08/29 12:18:01
22,13,14,2013/08/29 12:19:01
22,13,14,2013/11/30 08:24:02
22,13,14,2013/11/30 08:25:03
22,13,14,2013/11/30 08:26:03
22,13,14,2013/11/30 08:27:02
22,13,14,2013/11/30 08:28:02
23,8,7,2013/08/29 12:15:01
23,8,7,2013/08/29 12:16:02
23,8,7,2013/08/29 12:18:01
23,8,7,2013/08/29 12:19:01
23,8,7,2013/08/29 12:20:01
23,7,8,2013/11/30 08:25:03
23,7,8,2013/11/30 08:26:03
23,7,8,2013/11/30 08:27:02
23,7,8,2013/11/30 08:28:02
23,7,8,2013/11/30 08:29:02
24,8,7,2013/08/29 12:16:02
24,8,7,2013/08/29 12:18:01
24,8,7,2013/08/29 12:19:01
24,8,7,2013/08/29 12:20:01
24,8,7,2013/08/29 12:21:01
24,9,6,2013/11/30 08:26:03
24,9,6,2013/11/30 08:27:02
24,9,6,2013/11/30 08:28:02
24,9,6,2013/11/30 08:29:02
24,9,6,2013/11/30 08:30:02
25,7,8,2013/08/29 12:18:01
25,7,8,2013/08/29 12:19:01
25,7,8,2013/08/29 12:20:01
25,7,8,2013/08/29 12:21:01
25,7,8,2013/08/29 12:22:01
25,8,7,2013/11/30 08:27:02
25,9,6,2013/11/30 08:28:02
25,9,6,2013/11/30 08:29:02
25,9,6,2013/11/30 08:30:02
25,9,6,2013/11/30 08:31:02
26,8,7,2013/08/29 12:19:01
26,8,7,2013/08/29 12:20:01
26,8,7,2013/08/29 12:21:01
26,8,7,2013/08/29 12:22:01
26,8,7,2013/08/29 12:23:01
26,7,8,2013/11/30 08:28:02
26,7,8,2013/11/30 08:29:02
26,7,8,2013/11/30 08:30:02
26,7,8,2013/11/30 08:31:02
26,7,8,2013/11/30 08:32:03
27,7,8,2013/08/29 12:20:01
27,7,8,2013/08/29 12:21:01
27,7,8,2013/08/29 12:22:01
27,7,8,2013/08/29 12:23:01
27,7,8,2013/08/29 12:25:01
27,7,8,2013/11/30 08:29:02
27,7,8,2013/11/30 08:30:02
27,7,8,2013/11/30 08:31:02
27,7,8,2013/11/30 08:32:03
27,7,8,2013/11/30 08:33:03
28,13,10,2013/08/29 12:21:01
28,13,10,2013/08/29 12:22:01
28,13,10,2013/08/29 12:23:01
28,13,10,2013/08/29 12:25:01
28,13,10,2013/08/29 12:26:01
28,10,13,2013/11/30 08:30:02
28,10,13,2013/11/30 08:31:02
28,10,13,2013/11/30 08:32:03
28,10,13,2013/11/30 08:33:03
28,10,13,2013/11/30 08:34:02
29,12,11,2013/08/29 12:22:01
29,12,11,2013/08/29 12:23:01
29,12,11,2013/08/29 12:25:01
29,12,11,2013/08/29 12:26:01
29,12,11,2013/08/29 12:27:04
29,12,11,2013/11/30 08:31:02
29,12,11,2013/11/30 08:32:03
29,12,11,2013/11/30 08:33:03
29,12,11,2013/11/30 08:34:02
29,12,11,2013/11/30 08:35:02
30,8,7,2013/08/29 12:23:01
30,8,7,2013/08/29 12:25:01
30,8,7,2013/08/29 12:26:01
30,8,7,2013/08/29 12:27:04
30,8,7,2013/08/29 12:29:01
30,7,8,2013/11/30 08:32:03
30,7,8,2013/11/30 08:33:03
30,7,8,2013/11/30 08:34:02
30,7,8,2013/11/30 08:35:02
30,7,8,2013/11/30 08:36:02
31,2,13,2013/12/31 09:04:02
31,2,13,2013/12/31 09:05:02
31,2,13,2013/12/31 09:06:02
31,2,13,2013/12/31 09:07:02
31,2,13,2013/12/31 09:08:03
32,5,6,2014/01/31 10:46:02
32,5,6,2014/01/31 10:47:02
32,5,6,2014/01/31 10:48:02
32,5,6,2014/01/31 10:49:02
32,5,6,2014/01/31 10:50:02
33,11,4,2013/11/01 18:43:01
33,11,4,2013/11/01 18:44:01
33,11,4,2013/11/01 18:45:01
33,11,4,2013/11/01 18:46:01
33,11,4,2013/11/01 18:47:01
33,8,7,2014/01/31 10:47:02
33,8,7,2014/01/31 10:48:02
33,8,7,2014/01/31 10:49:02
33,8,7,2014/01/31 10:50:02
33,8,7,2014/01/31 10:51:02
34,11,12,2013/11/01 18:44:01
34,11,12,2013/11/01 18:45:01
34,11,12,2013/11/01 18:46:01
34,11,12,2013/11/01 18:47:01
34,11,12,2013/11/01 18:48:01
34,0,11,2014/01/31 10:48:02
34,0,11,2014/01/31 10:49:02
34,0,11,2014/01/31 10:50:02
34,0,11,2014/01/31 10:51:02
34,0,11,2014/01/31 10:52:02
35,5,6,2013/11/01 18:45:01
35,5,6,2013/11/01 18:46:01
35,5,6,2013/11/01 18:47:01
35,5,6,2013/11/01 18:48:01
35,5,6,2013/11/01 18:49:01
35,5,6,2014/01/31 10:49:02
35,5,6,2014/01/31 10:50:02
35,5,6,2014/01/31 10:51:02
35,5,6,2014/01/31 10:52:02
35,5,6,2014/01/31 10:53:02
36,9,6,2013/11/01 18:46:01
36,9,6,2013/11/01 18:47:01
36,9,6,2013/11/01 18:48:01
36,9,6,2013/11/01 18:49:01
36,9,6,2013/11/01 18:50:01
36,5,10,2014/01/31 10:50:02
36,5,10,2014/01/31 10:51:02
36,5,10,2014/01/31 10:52:02
36,5,10,2014/01/31 10:53:02
36,5,10,2014/01/31 10:54:03
37,6,5,2013/11/01 18:47:01
37,6,5,2013/11/01 18:48:01
37,6,5,2013/11/01 18:49:01
37,6,5,2013/11/01 18:50:01
37,6,5,2013/11/01 18:51:01
37,7,4,2014/01/31 10:51:02
37,6,5,2014/01/31 10:52:02
37,6,5,2014/01/31 10:53:02
37,6,5,2014/01/31 10:54:03
37,6,5,2014/01/31 10:55:03
38,8,7,2013/11/01 18:48:01
38,8,7,2013/11/01 18:49:01
38,8,7,2013/11/01 18:50:01
38,8,7,2013/11/01 18:51:01
38,8,7,2013/11/01 18:52:01
38,8,7,2014/01/31 10:52:02
38,8,7,2014/01/31 10:53:02
38,8,7,2014/01/31 10:54:03
38,8,7,2014/01/31 10:55:03
38,8,7,2014/01/31 10:56:02
41,3,12,2013/11/01 18:49:01
41,3,12,2013/11/01 18:50:01
41,3,12,2013/11/01 18:51:01
41,3,12,2013/11/01 18:52:01
41,3,12,2013/11/01 18:53:01
41,9,6,2014/01/31 10:53:02
41,9,6,2014/01/31 10:54:03
41,9,6,2014/01/31 10:55:03
41,9,6,2014/01/31 10:56:02
41,9,6,2014/01/31 10:57:02
42,8,7,2013/11/01 18:50:01
42,8,7,2013/11/01 18:51:01
42,8,7,2013/11/01 18:52:01
42,8,7,2013/11/01 18:53:01
42,8,7,2013/11/01 18:54:02
42,6,9,2014/01/31 10:54:03
42,6,9,2014/01/31 10:55:03
42,6,9,2014/01/31 10:56:02
42,6,9,2014/01/31 10:57:02
42,6,9,2014/01/31 10:58:02
45,1,14,2013/11/01 18:51:01
45,1,14,2013/11/01 18:52:01
45,1,14,2013/11/01 18:53:01
45,1,14,2013/11/01 18:54:02
45,1,14,2013/11/01 18:55:01
45,6,9,2014/01/31 10:55:03
45,6,9,2014/01/31 10:56:02
45,6,9,2014/01/31 10:57:02
45,6,9,2014/01/31 10:58:02
45,6,9,2014/01/31 10:59:02
46,4,11,2013/11/01 18:52:01
46,3,12,2013/11/01 18:53:01
46,3,12,2013/11/01 18:54:02
46,3,12,2013/11/01 18:55:01
46,3,12,2013/11/01 18:56:01
46,8,7,2014/01/31 10:56:02
46,8,7,2014/01/31 10:57:02
46,8,7,2014/01/31 10:58:02
46,8,7,2014/01/31 10:59:02
46,8,7,2014/01/31 11:00:02
